No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS This Y,EPS Next Y,EPS Past 5Y,EPS Next 5Y,Sales Past 5Y,Price,Change,Volume,Scraped_At
1,ADI,123.98B,64.11,22.87,3.92,11.94,3.64,35.74,33.71,20.77%,17.11%,-2.10%,16.34%,9.49%,252.02,5.27%,7509622,2025-11-25 21:39:14
2,SYM,45.64B,-,147.19,-,20.31,39.34,36.66,57.92,-83.05%,53.68%,-278.76%,-,-,77.29,39.36%,10150417,2025-11-25 21:39:14
3,KEYS,33.59B,40.02,21.38,3.28,6.25,6.72,17.93,26.22,11.92%,14.11%,8.07%,12.21%,4.95%,195.46,10.01%,3864871,2025-11-25 21:39:14
4,LEN,33.15B,12.95,14.75,-,0.95,1.48,19.19,-,-39.56%,6.92%,20.04%,-7.77%,9.77%,131.08,6.60%,15135275,2025-11-25 21:39:14
5,ZM,25.84B,16.77,14.31,3.91,5.38,2.9,3.25,12.91,7.36%,1.46%,106.45%,4.29%,49.60%,86.34,9.85%,12525933,2025-11-25 21:39:14
6,WWD,17.61B,40.82,31.30,2.41,4.94,7.13,53.78,51.74,15.60%,17.81%,13.94%,16.94%,7.41%,293.67,12.44%,1623153,2025-11-25 21:39:14
7,BBY,16.74B,21.95,11.87,4.01,0.4,6.17,8.92,12.38,-1.90%,7.41%,-5.73%,5.47%,-0.99%,79.66,5.34%,7503987,2025-11-25 21:39:14
8,AMTM,7.30B,112.36,11.21,12.32,0.51,1.62,16.7,14.15,7.35%,12.30%,192.27%,9.12%,25.04%,30.0,18.25%,10354127,2025-11-25 21:39:14
9,URBN,6.13B,13.37,12.05,0.88,1.05,2.37,9.84,15.36,29.06%,8.18%,20.59%,15.15%,6.86%,68.31,9.79%,6571266,2025-11-25 21:39:14
10,PONY,4.70B,-,-,-,62.55,6.02,7.73,-,76.72%,0.89%,-,41.68%,-,13.33,5.88%,16651238,2025-11-25 21:39:14
11,ANF,4.25B,8.54,9.07,-,0.83,3.29,7.04,12.33,-7.84%,0.97%,77.99%,-2.27%,6.43%,90.24,37.54%,12767669,2025-11-25 21:39:14
12,GBTG,4.05B,345.54,20.68,-,1.61,2.66,9.49,32.68,177.01%,62.00%,-,-,-,7.74,5.74%,3470807,2025-11-25 21:39:14
13,INSP,3.79B,89.43,74.51,6.74,4.29,5.68,11.74,38.34,-8.38%,9.15%,-,13.27%,57.80%,130.39,11.17%,5361743,2025-11-25 21:39:14
14,KYIV,3.35B,-,-,-,0.27,0.07,0.17,-,-,-,-,-,-,14.51,6.46%,1905655,2025-11-25 21:39:14
15,UPWK,2.57B,11.25,13.86,0.72,3.29,4.12,4.0,15.09,29.54%,5.43%,-,15.69%,20.68%,19.69,6.15%,9050776,2025-11-25 21:39:14
16,KSS,2.51B,12.24,29.42,-,0.16,0.64,14.44,5.23,-46.72%,-4.63%,-25.96%,-26.30%,-4.08%,22.42,42.53%,35404838,2025-11-25 21:39:14
17,ZIM,2.35B,2.34,-,-,0.31,0.59,1.21,0.97,-85.34%,-225.63%,-,-,20.63%,19.51,13.63%,16227802,2025-11-25 21:39:14
18,JANX,2.09B,-,-,-,208.95,2.14,2.11,-,-57.00%,-45.71%,-67.90%,-,-,34.74,10.18%,2305490,2025-11-25 21:39:14
19,CENT,1.99B,15.56,11.56,3.11,0.64,1.35,2.73,6.37,2.29%,5.82%,0.06%,5.00%,6.08%,34.15,8.65%,259376,2025-11-25 21:39:14
20,CENTA,1.98B,14.10,10.47,2.82,0.63,1.22,2.72,6.34,2.29%,5.82%,0.06%,5.00%,6.08%,30.93,8.18%,774044,2025-11-25 21:39:14
21,SEM,1.93B,17.87,11.85,1.05,0.36,1.14,32.1,11.08,30.76%,6.94%,8.51%,17.09%,-1.00%,15.57,11.13%,3699775,2025-11-25 21:39:14
22,FBYD,1.73B,-,-,-,179.03,58.21,406.38,-,-,-,-,-,-,14.3,7.52%,121392,2025-11-25 21:39:14
23,AGIO,1.66B,-,-,-,37.01,1.29,1.74,-,-160.46%,5.39%,-,-,-20.91%,28.42,7.30%,2298014,2025-11-25 21:39:14
