No.,Ticker,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EPS This Y,EPS Next Y,EPS Past 5Y,EPS Next 5Y,Sales Past 5Y,Price,Change %,Volume,Scraped_At
1,PP,40.61B,166.30,29.22,0.79,9.53,26.37,40.2,316.87,34.69%,50.21%,-,37.17%,16.81%,121.88,11.15%,11664510,2026-09-24 23:57:28
2,IIONQ,18.22B,-,-,-,73.94,5.15,8.6,-,23.74%,-7.29%,-69.38%,14.03%,-,44.98,5.74%,43225279,2026-09-24 23:57:28
3,TTWST,12.12B,-,-,-,28.06,25.88,72.62,-,-65.92%,37.15%,18.31%,12.05%,33.11%,184.03,16.11%,3536330,2026-09-24 23:57:28
4,GGRAL,5.53B,-,-,-,33.47,2.20,6.42,-,13.37%,-5.92%,-41.05%,4.47%,-,125.21,14.11%,3447210,2026-09-24 23:57:28
5,VVCYT,3.90B,34.44,24.88,4.70,6.94,2.81,8.04,23.51,7.53%,1.94%,-,5.29%,34.50%,48.54,10.77%,2880673,2026-09-24 23:57:28
6,WWRBY,3.25B,432.78,43.70,1.16,3.56,8.27,11.1,149.30,21.52%,37.60%,-,37.69%,17.23%,26.27,12.51%,8432870,2026-09-24 23:57:28
7,CCDNA,3.17B,29.58,46.20,0.98,6.93,7.42,8.5,37.48,107.55%,10.36%,0.09%,46.93%,14.59%,61.37,13.00%,2501693,2026-09-24 23:57:28
8,SSECZ,2.70B,-,39.37,0.34,186.90,-,44.4,26987.87,-533.63%,196.83%,-,115.68%,-,16.53,15.11%,10515252,2026-09-24 23:57:28
9,PPRGO,2.04B,-,6.12,-,0.49,0.81,5.1,17.08,-20.00%,9.09%,-53.83%,-0.67%,0.80%,14.68,6.07%,7734222,2026-09-24 23:57:28
10,KKRSA,1.69B,-,-,-,891.41,4.45,1218.48,-,-,-,53.53%,-,-2.01%,37.19,15.14%,411367,2026-09-24 23:57:28
11,QQMCO,1.16B,-,35.11,-,3.93,-,21.29,-,117.29%,80.65%,13.59%,-,-4.37%,29.49,13.55%,5219360,2026-09-24 23:57:28
12,CCBRL,1.16B,37.16,27.84,-,0.35,2.42,31.72,12.75,79.92%,29.39%,-33.43%,-,3.30%,51.84,9.09%,2007431,2026-09-24 23:57:28
13,LLU,1.13B,-,7.05,-,0.28,0.10,0.21,1.15,78.94%,226.05%,-,-,-13.48%,1.35,10.66%,4215506,2026-09-24 23:57:28
14,RRSKD,1.04B,-,20.41,0.70,2.84,4.99,4.67,21.25,26.25%,53.47%,-6.48%,29.07%,15.31%,7.91,10.78%,7166659,2026-09-24 23:57:28
15,PPUBM,844.96M,-,121.47,-,2.92,3.53,6.14,15.64,68.66%,257.19%,-,-,13.72%,18.55,6.27%,1529103,2026-09-24 23:57:28
16,DDNA,690.24M,-,-,-,6.17,1.48,2.26,-,23.23%,20.55%,-7.49%,-,17.29%,10.25,19.46%,4029713,2026-09-24 23:57:28
17,CCDRO,445.61M,-,15.90,-,1.88,10.18,5.35,22.92,3289.14%,69.84%,-,-,24.20%,9.8,6.18%,59467,2026-09-24 23:57:28
18,CCYPH,439.68M,7.21,9.71,0.07,-,3.16,57.7,-,-121.43%,2900.00%,-,133.40%,-,4.08,13.02%,25150277,2026-09-24 23:57:28
19,MMNTK,409.95M,51.99,17.89,-,2.17,1.56,26.0,-,1044.45%,40.63%,-17.74%,-,12.06%,2.88,26.59%,3467419,2026-09-24 23:57:28
20,SSRZN,395.87M,-,-,-,34.39,-,3.88,-,78.33%,48.52%,4.68%,51.70%,-,33.68,108.42%,11528174,2026-09-24 23:57:28
21,YYDES,337.92M,-,-,-,-,75.53,127.04,-,-,-,6.41%,-,-,4.77,47.68%,3171874,2026-09-24 23:57:28
