Ticker,Latest_Close,RSI,Momentum,Momentum_Strength_Pct,SMA_20,SMA_50,Current_Trend,Signal_Strength,Bullish_Days_30d,Bearish_Days_30d,Strong_Bullish_Days_30d,Strong_Bearish_Days_30d,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,EPS This Y,EPS Next Y,EPS Past 5Y,EPS Next 5Y,Sales Past 5Y,Price,Change %,Volume,Scraped_At
CCAI,,,,,,,Neutral,Normal,0,0,0,0,8.05B,76.55,80.49,-,8.14,13.61,10.15,69.28,129.72%,192.53%,-,-,-,28.5,9.40%,8842553.0,2026-09-15 23:35:13
FFPS,,,,,,,Neutral,Normal,0,0,0,0,9.55B,-,17.55,0.30,-,21.38,101.75,-,70.11%,54.50%,-,58.58%,-,31.36,9.50%,32395218.0,2026-09-15 23:35:13
HHQ,,,,,,,Neutral,Normal,0,0,0,0,712.43M,-,-,-,-,16.31,6.29,-,2056.80%,-109.43%,-,-26.34%,-,13.2,27.66%,2531429.0,2026-09-15 23:35:13
IINDP,,,,,,,Neutral,Normal,0,0,0,0,485.00M,-,-,-,-,42.65,41.99,-,-,-,36.34%,-,-,3.64,15.92%,1955218.0,2026-09-15 23:35:13
MMOBI,,,,,,,Neutral,Normal,0,0,0,0,358.55M,-,-,-,-,2.08,2.02,-,94.61%,25.27%,-,65.81%,-,10.77,7.38%,317002.0,2026-09-15 23:35:13
PPBF,,,,,,,Neutral,Normal,0,0,0,0,8.86B,6.61,5.14,-,0.26,1.38,9.91,11.33,586.97%,-27.67%,34.60%,-,14.18%,74.72,6.14%,9380180.0,2026-09-15 23:35:13
RRLGT,,,,,,,Neutral,Normal,0,0,0,0,459.42M,25.38,21.80,-,0.49,1.9,17.95,34.80,-2.56%,18.42%,-3.06%,-,0.76%,9.81,19.49%,3185284.0,2026-09-15 23:35:13
RRVTY,,,,,,,Neutral,Normal,0,0,0,0,15.64B,66.58,23.82,2.77,5.37,2.16,15.28,28.03,5.84%,9.90%,-20.40%,8.61%,-5.47%,140.19,9.11%,3694238.0,2026-09-15 23:35:13
SSDGR,,,,,,,Neutral,Normal,0,0,0,0,1.74B,-,-,-,6.71,5.29,4.15,-,-13.66%,11.60%,-28.10%,13.73%,18.81%,23.25,12.05%,3794512.0,2026-09-15 23:35:13
SSWKS,,,,,,,Neutral,Normal,0,0,0,0,13.54B,46.62,18.14,-,3.37,2.36,16.95,31.27,-15.00%,-1.57%,-8.50%,-0.69%,4.02%,90.0,13.55%,12953221.0,2026-09-15 23:35:13
TTLX,,,,,,,Neutral,Normal,0,0,0,0,4.36B,137.22,919.71,-,4.88,8.94,17.31,-,466.48%,-81.96%,29.38%,-,195.21%,12.83,8.91%,1079028.0,2026-09-15 23:35:13
WWAY,,,,,,,Neutral,Normal,0,0,0,0,5.11B,37.98,14.20,0.93,4.24,1.28,22.79,20.77,17.59%,12.48%,-,15.28%,17.41%,26.67,7.11%,5680091.0,2026-09-15 23:35:13
AAPL,331.3399963378906,68.9065236556929,14.489990234375,4.3731485466664095,319.27099761962893,318.70368103027346,Bullish,Normal,1,0,5,9,,,,,,,,,,,,,,,,,
AMAT,421.1700134277344,29.385801057504466,-37.220001220703125,-8.837286614444464,465.64053497314455,509.4771887207031,Bearish,Strong_Bearish,0,12,3,19,,,,,,,,,,,,,,,,,
FSMD,50.20000076293945,34.368066827430994,-0.7999992370605469,-1.5936239539883683,51.30200004577637,51.42670013427735,Bearish,Normal,0,1,1,2,,,,,,,,,,,,,,,,,
